=================================
     Train and test QA model     
=================================
Start training...
step 1 | Training...
step 39840 | Training...
step 39841 | Training...
step 39842 | Training...
step 39843 | Training...
step 39844 | Training...
step 39845 | Training...
step 39846 | Training...
step 39847 | Training...
step 39848 | Training...
step 39849 | Training...
step 39850 | Training...
step 39851 | Training...
step 39852 | Training...
step 39853 | Training...
step 39854 | Training...
step 39855 | Training...
step 39856 | Training...
step 39857 | Training...
step 39858 | Training...
step 39859 | Training...
step 39860 | Training...
step 39861 | Training...
step 39862 | Training...
step 39863 | Training...
step 39864 | Training...
step 39865 | Training...
step 39866 | Training...
step 39867 | Training...
step 39868 | Training...
step 39869 | Training...
step 39870 | Training...
step 39871 | Training...
step 39872 | Training...
step 39873 | Training...
step 39874 | Training...
step 39875 | Training...
step 39876 | Training...
step 39877 | Training...
step 39878 | Training...
step 39879 | Training...
step 39880 | Training...
step 39881 | Training...
step 39882 | Training...
step 39883 | Training...
step 39884 | Training...
step 39885 | Training...
step 39886 | Training...
step 39887 | Training...
step 39888 | Training...
step 39889 | Training...
step 39890 | Training...
step 39891 | Training...
step 39892 | Training...
step 39893 | Training...
step 39894 | Training...
step 39895 | Training...
step 39896 | Training...
step 39897 | Training...
step 39898 | Training...
step 39899 | Training...
step 39900 | Training...
step 39901 | Training...
step 39902 | Training...
step 39903 | Training...
step 39904 | Training...
step 39905 | Training...
step 39906 | Training...
step 39907 | Training...
step 39908 | Training...
step 39909 | Training...
step 39910 | Training...
step 39911 | Training...
step 39912 | Training...
step 39913 | Training...
step 39914 | Training...
step 39915 | Training...
step 39916 | Training...
step 39917 | Training...
step 39918 | Training...
step 39919 | Training...
step 39920 | Training...
step 39921 | Training...
step 39922 | Training...
step 39923 | Training...
step 39924 | Training...
step 39925 | Training...
step 39926 | Training...
step 39927 | Training...
step 39928 | Training...
step 39929 | Training...
step 39930 | Training...
step 39931 | Training...
step 39932 | Training...
step 39933 | Training...
step 39934 | Training...
step 39935 | Training...
step 39936 | Training...
step 39937 | Training...
step 39938 | Training...
step 39939 | Training...
step 39940 | Training...
step 39941 | Training...
step 39942 | Training...
step 39943 | Training...
step 39944 | Training...
step 39945 | Training...
step 39946 | Training...
step 39947 | Training...
step 39948 | Training...
step 39949 | Training...
step 39950 | Training...
step 39951 | Training...
step 39952 | Training...
step 39953 | Training...
step 39954 | Training...
step 39955 | Training...
step 39956 | Training...
step 39957 | Training...
step 39958 | Training...
step 39959 | Training...
step 39960 | Training...
step 39961 | Training...
step 39962 | Training...
step 39963 | Training...
step 39964 | Training...
step 39965 | Training...
step 39966 | Training...
step 39967 | Training...
step 39968 | Training...
step 39969 | Training...
step 39970 | Training...
step 39971 | Training...
step 39972 | Training...
step 39973 | Training...
step 39974 | Training...
step 39975 | Training...
step 39976 | Training...
step 39977 | Training...
step 39978 | Training...
step 39979 | Training...
step 39980 | Training...
step 39981 | Training...
step 39982 | Training...
step 39983 | Training...
step 39984 | Training...
step 39985 | Training...
step 39986 | Training...
step 39987 | Training...
step 39988 | Training...
step 39989 | Training...
step 39990 | Training...
step 39991 | Training...
step 39992 | Training...
step 39993 | Training...
step 39994 | Training...
step 39995 | Training...
step 39996 | Training...
step 39997 | Training...
step 39998 | Training...
step 39999 | Training...
step 40000 | Training...
step 40001 | Training...
step 40002 | Training...
step 40003 | Training...
step 40004 | Training...
step 40005 | Training...
step 40006 | Training...
step 40007 | Training...
step 40008 | Training...
step 40009 | Training...
step 40010 | Training...
step 40011 | Training...
step 40012 | Training...
step 40013 | Training...
step 40014 | Training...
step 40015 | Training...
step 40016 | Training...
step 40017 | Training...
step 40018 | Training...
step 40019 | Training...
step 40020 | Training...
step 40021 | Training...
step 40022 | Training...
step 40023 | Training...
step 40024 | Training...
step 40025 | Training...
step 40026 | Training...
step 40027 | Training...
step 40028 | Training...
step 40029 | Training...
step 40030 | Training...
step 40031 | Training...
step 40032 | Training...
step 40033 | Training...
step 40034 | Training...
step 40035 | Training...
step 40036 | Training...
step 40037 | Training...
step 40038 | Training...
step 40039 | Training...
step 40040 | Training...
step 40041 | Training...
step 40042 | Training...
step 40043 | Training...
step 40044 | Training...
step 40045 | Training...
step 40046 | Training...
step 40047 | Training...
step 40048 | Training...
step 40049 | Training...
step 40050 | Training...
step 40051 | Training...
step 40052 | Training...
step 40053 | Training...
step 40054 | Training...
step 40055 | Training...
step 40056 | Training...
step 40057 | Training...
step 40058 | Training...
step 40059 | Training...
step 40060 | Training...
step 40061 | Training...
step 40062 | Training...
step 40063 | Training...
step 40064 | Training...
step 40065 | Training...
step 40066 | Training...
step 40067 | Training...
step 40068 | Training...
step 40069 | Training...
step 40070 | Training...
step 40071 | Training...
step 40072 | Training...
step 40073 | Training...
step 40074 | Training...
step 40075 | Training...
step 40076 | Training...
step 40077 | Training...
step 40078 | Training...
step 40079 | Training...
step 40080 | Training...
step 40081 | Training...
step 40082 | Training...
step 40083 | Training...
step 40084 | Training...
step 40085 | Training...
step 40086 | Training...
step 40087 | Training...
step 40088 | Training...
step 40089 | Training...
step 40090 | Training...
step 40091 | Training...
step 40092 | Training...
step 40093 | Training...
step 40094 | Training...
step 40095 | Training...
step 40096 | Training...
step 40097 | Training...
step 40098 | Training...
step 40099 | Training...
step 40100 | Training...
step 40101 | Training...
step 40102 | Training...
step 40103 | Training...
step 40104 | Training...
step 40105 | Training...
step 40106 | Training...
step 40107 | Training...
step 40108 | Training...
step 40109 | Training...
step 40110 | Training...
step 40111 | Training...
step 40112 | Training...
step 40113 | Training...
step 40114 | Training...
step 40115 | Training...
step 40116 | Training...
step 40117 | Training...
step 40118 | Training...
step 40119 | Training...
step 40120 | Training...
step 40121 | Training...
step 40122 | Training...
step 40123 | Training...
step 40124 | Training...
step 40125 | Training...
step 40126 | Training...
step 40127 | Training...
step 40128 | Training...
step 40129 | Training...
step 40130 | Training...
step 40131 | Training...
step 40132 | Training...
step 40133 | Training...
step 40134 | Training...
step 40135 | Training...
step 40136 | Training...
step 40137 | Training...
step 40138 | Training...
step 40139 | Training...
step 40140 | Training...
step 40141 | Training...
step 40142 | Training...
step 40143 | Training...
step 40144 | Training...
step 40145 | Training...
step 40146 | Training...
step 40147 | Training...
step 40148 | Training...
step 40149 | Training...
step 40150 | Training...
step 40151 | Training...
step 40152 | Training...
step 40153 | Training...
step 40154 | Training...
step 40155 | Training...
step 40156 | Training...
step 40157 | Training...
step 40158 | Training...
step 40159 | Training...
step 40160 | Training...
step 40161 | Training...
step 40162 | Training...
step 40163 | Training...
step 40164 | Training...
step 40165 | Training...
step 40166 | Training...
step 40167 | Training...
step 40168 | Training...
step 40169 | Training...
step 40170 | Training...
step 40171 | Training...
step 40172 | Training...
step 40173 | Training...
step 40174 | Training...
step 40175 | Training...
step 40176 | Training...
step 40177 | Training...
step 40178 | Training...
step 40179 | Training...
step 40180 | Training...
step 40181 | Training...
step 40182 | Training...
step 40183 | Training...
step 40184 | Training...
step 40185 | Training...
step 40186 | Training...
step 40187 | Training...
step 40188 | Training...
step 40189 | Training...
step 40190 | Training...
step 40191 | Training...
step 40192 | Training...
step 40193 | Training...
step 40194 | Training...
step 40195 | Training...
step 40196 | Training...
step 40197 | Training...
step 40198 | Training...
step 40199 | Training...
step 40200 | Training...
step 40201 | Training...
step 40202 | Training...
step 40203 | Training...
step 40204 | Training...
step 40205 | Training...
step 40206 | Training...
step 40207 | Training...
step 40208 | Training...
step 40209 | Training...
step 40210 | Training...
step 40211 | Training...
step 40212 | Training...
step 40213 | Training...
step 40214 | Training...
step 40215 | Training...
step 40216 | Training...
step 40217 | Training...
step 40218 | Training...
step 40219 | Training...
step 40220 | Training...
step 40221 | Training...
step 40222 | Training...
step 40223 | Training...
step 40224 | Training...
step 40225 | Training...
step 40226 | Training...
step 40227 | Training...
step 40228 | Training...
step 40229 | Training...
step 40230 | Training...
step 40231 | Training...
step 40232 | Training...
step 40233 | Training...
step 40234 | Training...
step 40235 | Training...
step 40236 | Training...
step 40237 | Training...
step 40238 | Training...
step 40239 | Training...
step 40240 | Training...
step 40241 | Training...
step 40242 | Training...
step 40243 | Training...
step 40244 | Training...
step 40245 | Training...
step 40246 | Training...
step 40247 | Training...
step 40248 | Training...
step 40249 | Training...
step 40250 | Training...
step 40251 | Training...
step 40252 | Training...
step 40253 | Training...
step 40254 | Training...
step 40255 | Training...
step 40256 | Training...
step 40257 | Training...
step 40258 | Training...
step 40259 | Training...
step 40260 | Training...
step 40261 | Training...
step 40262 | Training...
step 40263 | Training...
step 40264 | Training...
step 40265 | Training...
step 40266 | Training...
step 40267 | Training...
step 40268 | Training...
step 40269 | Training...
step 40270 | Training...
step 40271 | Training...
step 40272 | Training...
step 40273 | Training...
step 40274 | Training...
step 40275 | Training...
step 40276 | Training...
step 40277 | Training...
step 40278 | Training...
step 40279 | Training...
step 40280 | Training...
step 40281 | Training...
step 40282 | Training...
step 40283 | Training...
step 40284 | Training...
step 40285 | Training...
step 40286 | Training...
step 40287 | Training...
step 40288 | Training...
step 40289 | Training...
step 40290 | Training...
step 40291 | Training...
step 40292 | Training...
step 40293 | Training...
step 40294 | Training...
step 40295 | Training...
step 40296 | Training...
step 40297 | Training...
step 40298 | Training...
step 40299 | Training...
step 40300 | Training...
step 40301 | Training...
step 40302 | Training...
step 40303 | Training...
step 40304 | Training...
step 40305 | Training...
step 40306 | Training...
step 40307 | Training...
step 40308 | Training...
step 40309 | Training...
step 40310 | Training...
step 40311 | Training...
step 40312 | Training...
step 40313 | Training...
step 40314 | Training...
step 40315 | Training...
step 40316 | Training...
step 40317 | Training...
step 40318 | Training...
step 40319 | Training...
step 40320 | Training...
step 40321 | Training...
step 40322 | Training...
step 40323 | Training...
step 40324 | Training...
step 40325 | Training...
step 40326 | Training...
step 40327 | Training...
step 40328 | Training...
step 40329 | Training...
step 40330 | Training...
step 40331 | Training...
step 40332 | Training...
step 40333 | Training...
step 40334 | Training...
step 40335 | Training...
step 40336 | Training...
step 40337 | Training...
step 40338 | Training...
step 40339 | Training...
step 40340 | Training...
step 40341 | Training...
step 40342 | Training...
step 40343 | Training...
step 40344 | Training...
step 40345 | Training...
step 40346 | Training...
step 40347 | Training...
step 40348 | Training...
step 40349 | Training...
step 40350 | Training...
step 40351 | Training...
step 40352 | Training...
step 40353 | Training...
step 40354 | Training...
step 40355 | Training...
step 40356 | Training...
step 40357 | Training...
step 40358 | Training...
step 40359 | Training...
step 40360 | Training...
step 40361 | Training...
step 40362 | Training...
step 40363 | Training...
step 40364 | Training...
step 40365 | Training...
step 40366 | Training...
step 40367 | Training...
step 40368 | Training...
step 40369 | Training...
step 40370 | Training...
step 40371 | Training...
step 40372 | Training...
step 40373 | Training...
step 40374 | Training...
step 40375 | Training...
step 40376 | Training...
step 40377 | Training...
step 40378 | Training...
step 40379 | Training...
step 40380 | Training...
step 40381 | Training...
step 40382 | Training...
step 40383 | Training...
step 40384 | Training...
step 40385 | Training...
step 40386 | Training...
step 40387 | Training...
step 40388 | Training...
step 40389 | Training...
step 40390 | Training...
step 40391 | Training...
step 40392 | Training...
step 40393 | Training...
step 40394 | Training...
step 40395 | Training...
step 40396 | Training...
step 40397 | Training...
step 40398 | Training...
step 40399 | Training...
step 40400 | Training...
step 40401 | Training...
step 40402 | Training...
step 40403 | Training...
step 40404 | Training...
step 40405 | Training...
step 40406 | Training...
step 40407 | Training...
step 40408 | Training...
step 40409 | Training...
step 40410 | Training...
step 40411 | Training...
step 40412 | Training...
step 40413 | Training...
step 40414 | Training...
step 40415 | Training...
step 40416 | Training...
step 40417 | Training...
step 40418 | Training...
step 40419 | Training...
step 40420 | Training...
step 40421 | Training...
step 40422 | Training...
step 40423 | Training...
step 40424 | Training...
step 40425 | Training...
step 40426 | Training...
step 40427 | Training...
step 40428 | Training...
step 40429 | Training...
step 40430 | Training...
step 40431 | Training...
step 40432 | Training...
step 40433 | Training...
step 40434 | Training...
step 40435 | Training...
step 40436 | Training...
step 40437 | Training...
step 40438 | Training...
step 40439 | Training...
step 40440 | Training...
step 40441 | Training...
step 40442 | Training...
step 40443 | Training...
step 40444 | Training...
step 40445 | Training...
step 40446 | Training...
step 40447 | Training...
step 40448 | Training...
step 40449 | Training...
step 40450 | Training...
step 40451 | Training...
step 40452 | Training...
step 40453 | Training...
step 40454 | Training...
step 40455 | Training...
step 40456 | Training...
step 40457 | Training...
step 40458 | Training...
step 40459 | Training...
step 40460 | Training...
step 40461 | Training...
step 40462 | Training...
step 40463 | Training...
step 40464 | Training...
step 40465 | Training...
step 40466 | Training...
step 40467 | Training...
step 40468 | Training...
step 40469 | Training...
step 40470 | Training...
step 40471 | Training...
step 40472 | Training...
step 40473 | Training...
step 40474 | Training...
step 40475 | Training...
step 40476 | Training...
step 40477 | Training...
step 40478 | Training...
step 40479 | Training...
step 40480 | Training...
step 40481 | Training...
step 40482 | Training...
step 40483 | Training...
step 40484 | Training...
step 40485 | Training...
step 40486 | Training...
step 40487 | Training...
step 40488 | Training...
step 40489 | Training...
step 40490 | Training...
step 40491 | Training...
step 40492 | Training...
step 40493 | Training...
step 40494 | Training...
step 40495 | Training...
step 40496 | Training...
step 40497 | Training...
step 40498 | Training...
step 40499 | Training...
step 40500 | Training...
step 40501 | Training...
step 40502 | Training...
step 40503 | Training...
step 40504 | Training...
step 40505 | Training...
step 40506 | Training...
step 40507 | Training...
step 40508 | Training...
step 40509 | Training...
step 40510 | Training...
step 40511 | Training...
step 40512 | Training...
step 40513 | Training...
step 40514 | Training...
step 40515 | Training...
step 40516 | Training...
step 40517 | Training...
step 40518 | Training...
step 40519 | Training...
step 40520 | Training...
step 40521 | Training...
step 40522 | Training...
step 40523 | Training...
step 40524 | Training...
step 40525 | Training...
step 40526 | Training...
step 40527 | Training...
step 40528 | Training...
step 40529 | Training...
step 40530 | Training...
step 40531 | Training...
step 40532 | Training...
step 40533 | Training...
step 40534 | Training...
step 40535 | Training...
step 40536 | Training...
step 40537 | Training...
step 40538 | Training...
step 40539 | Training...
step 40540 | Training...
step 40541 | Training...
step 40542 | Training...
step 40543 | Training...
step 40544 | Training...
step 40545 | Training...
step 40546 | Training...
step 40547 | Training...
step 40548 | Training...
step 40549 | Training...
step 40550 | Training...
step 40551 | Training...
step 40552 | Training...
step 40553 | Training...
step 40554 | Training...
step 40555 | Training...
step 40556 | Training...
step 40557 | Training...
step 40558 | Training...
step 40559 | Training...
step 40560 | Training...
step 40561 | Training...
step 40562 | Training...
step 40563 | Training...
step 40564 | Training...
step 40565 | Training...
step 40566 | Training...
step 40567 | Training...
step 40568 | Training...
step 40569 | Training...
step 40570 | Training...
step 40571 | Training...
step 40572 | Training...
step 40573 | Training...
step 40574 | Training...
step 40575 | Training...
step 40576 | Training...
step 40577 | Training...
step 40578 | Training...
step 40579 | Training...
step 40580 | Training...
step 40581 | Training...
step 40582 | Training...
step 40583 | Training...
step 40584 | Training...
step 40585 | Training...
step 40586 | Training...
step 40587 | Training...
step 40588 | Training...
step 40589 | Training...
step 40590 | Training...
step 40591 | Training...
step 40592 | Training...
step 40593 | Training...
step 40594 | Training...
step 40595 | Training...
step 40596 | Training...
step 40597 | Training...
step 40598 | Training...
step 40599 | Training...
step 40600 | Training...
step 40601 | Training...
step 40602 | Training...
step 40603 | Training...
step 40604 | Training...
step 40605 | Training...
step 40606 | Training...
step 40607 | Training...
step 40608 | Training...
step 40609 | Training...
step 40610 | Training...
step 40611 | Training...
step 40612 | Training...
step 40613 | Training...
step 40614 | Training...
step 40615 | Training...
step 40616 | Training...
step 40617 | Training...
step 40618 | Training...
step 40619 | Training...
step 40620 | Training...
step 40621 | Training...
step 40622 | Training...
step 40623 | Training...
step 40624 | Training...
step 40625 | Training...
step 40626 | Training...
step 40627 | Training...
step 40628 | Training...
step 40629 | Training...
step 40630 | Training...
step 40631 | Training...
step 40632 | Training...
step 40633 | Training...
step 40634 | Training...
step 40635 | Training...
step 40636 | Training...
step 40637 | Training...
step 40638 | Training...
step 40639 | Training...
step 40640 | Training...
step 40641 | Training...
step 40642 | Training...
step 40643 | Training...
step 40644 | Training...
step 40645 | Training...
step 40646 | Training...
step 40647 | Training...
step 40648 | Training...
step 40649 | Training...
step 40650 | Training...
step 40651 | Training...
step 40652 | Training...
step 40653 | Training...
step 40654 | Training...
step 40655 | Training...
step 40656 | Training...
step 40657 | Training...
step 40658 | Training...
step 40659 | Training...
step 40660 | Training...
step 40661 | Training...
step 40662 | Training...
step 40663 | Training...
step 40664 | Training...
step 40665 | Training...
step 40666 | Training...
step 40667 | Training...
step 40668 | Training...
step 40669 | Training...
step 40670 | Training...
step 40671 | Training...
step 40672 | Training...
step 40673 | Training...
step 40674 | Training...
step 40675 | Training...
step 40676 | Training...
step 40677 | Training...
step 40678 | Training...
step 40679 | Training...
step 40680 | Training...
step 40681 | Training...
step 40682 | Training...
step 40683 | Training...
step 40684 | Training...
step 40685 | Training...
step 40686 | Training...
step 40687 | Training...
step 40688 | Training...
step 40689 | Training...
step 40690 | Training...
step 40691 | Training...
step 40692 | Training...
step 40693 | Training...
step 40694 | Training...
step 40695 | Training...
step 40696 | Training...
step 40697 | Training...
step 40698 | Training...
step 40699 | Training...
step 40700 | Training...
step 40701 | Training...
step 40702 | Training...
step 40703 | Training...
step 40704 | Training...
step 40705 | Training...
step 40706 | Training...
step 40707 | Training...
step 40708 | Training...
step 40709 | Training...
step 40710 | Training...
step 40711 | Training...
step 40712 | Training...
step 40713 | Training...
step 40714 | Training...
step 40715 | Training...
step 40716 | Training...
step 40717 | Training...
step 40718 | Training...
step 40719 | Training...
step 40720 | Training...
step 40721 | Training...
step 40722 | Training...
step 40723 | Training...
step 40724 | Training...
step 40725 | Training...
step 40726 | Training...
step 40727 | Training...
step 40728 | Training...
step 40729 | Training...
step 40730 | Training...
step 40731 | Training...
step 40732 | Training...
step 40733 | Training...
step 40734 | Training...
step 40735 | Training...
step 40736 | Training...
step 40737 | Training...
step 40738 | Training...
step 40739 | Training...
step 40740 | Training...
step 40741 | Training...
step 40742 | Training...
step 40743 | Training...
step 40744 | Training...
step 40745 | Training...
step 40746 | Training...
step 40747 | Training...
step 40748 | Training...
step 40749 | Training...
step 40750 | Training...
step 40751 | Training...
step 40752 | Training...
step 40753 | Training...
step 40754 | Training...
step 40755 | Training...
step 40756 | Training...
step 40757 | Training...
step 40758 | Training...
step 40759 | Training...
step 40760 | Training...
step 40761 | Training...
step 40762 | Training...
step 40763 | Training...
step 40764 | Training...
step 40765 | Training...
step 40766 | Training...
step 40767 | Training...
step 40768 | Training...
step 40769 | Training...
step 40770 | Training...
step 40771 | Training...
step 40772 | Training...
step 40773 | Training...
step 40774 | Training...
step 40775 | Training...
step 40776 | Training...
step 40777 | Training...
step 40778 | Training...
step 40779 | Training...
step 40780 | Training...
step 40781 | Training...
step 40782 | Training...
step 40783 | Training...
step 40784 | Training...
step 40785 | Training...
step 40786 | Training...
step 40787 | Training...
step 40788 | Training...
step 40789 | Training...
step 40790 | Training...
step 40791 | Training...
step 40792 | Training...
step 40793 | Training...
step 40794 | Training...
step 40795 | Training...
step 40796 | Training...
step 40797 | Training...
step 40798 | Training...
step 40799 | Training...
step 40800 | Training...
step 40801 | Training...
step 40802 | Training...
step 40803 | Training...
step 40804 | Training...
step 40805 | Training...
step 40806 | Training...
step 40807 | Training...
step 40808 | Training...
step 40809 | Training...
step 40810 | Training...
step 40811 | Training...
step 40812 | Training...
step 40813 | Training...
step 40814 | Training...
step 40815 | Training...
step 40816 | Training...
step 40817 | Training...
step 40818 | Training...
step 40819 | Training...
step 40820 | Training...
step 40821 | Training...
step 40822 | Training...
step 40823 | Training...
step 40824 | Training...
step 40825 | Training...
step 40826 | Training...
step 40827 | Training...
step 40828 | Training...
step 40829 | Training...
step 40830 | Training...
step 40831 | Training...
step 40832 | Training...
step 40833 | Training...
step 40834 | Training...
step 40835 | Training...
step 40836 | Training...
step 40837 | Training...
step 40838 | Training...
step 40839 | Training...
step 40840 | Training...
step 40841 | Training...
step 40842 | Training...
step 40843 | Training...
step 40844 | Training...
step 40845 | Training...
step 40846 | Training...
step 40847 | Training...
step 40848 | Training...
step 40849 | Training...
step 40850 | Training...
step 40851 | Training...
step 40852 | Training...
step 40853 | Training...
step 40854 | Training...
step 40855 | Training...
step 40856 | Training...
step 40857 | Training...
step 40858 | Training...
step 40859 | Training...
step 40860 | Training...
step 40861 | Training...
step 40862 | Training...
step 40863 | Training...
step 40864 | Training...
step 40865 | Training...
step 40866 | Training...
step 40867 | Training...
step 40868 | Training...
step 40869 | Training...
step 40870 | Training...
step 40871 | Training...
step 40872 | Training...
step 40873 | Training...
step 40874 | Training...
step 40875 | Training...
step 40876 | Training...
step 40877 | Training...
step 40878 | Training...
step 40879 | Training...
step 40880 | Training...
step 40881 | Training...
step 40882 | Training...
step 40883 | Training...
step 40884 | Training...
step 40885 | Training...
step 40886 | Training...
step 40887 | Training...
step 40888 | Training...
step 40889 | Training...
step 40890 | Training...
step 40891 | Training...
step 40892 | Training...
step 40893 | Training...
step 40894 | Training...
step 40895 | Training...
step 40896 | Training...
step 40897 | Training...
step 40898 | Training...
step 40899 | Training...
step 40900 | Training...
step 40901 | Training...
step 40902 | Training...
step 40903 | Training...
step 40904 | Training...
step 40905 | Training...
step 40906 | Training...
step 40907 | Training...
step 40908 | Training...
step 40909 | Training...
step 40910 | Training...
step 40911 | Training...
step 40912 | Training...
step 40913 | Training...
step 40914 | Training...
step 40915 | Training...
step 40916 | Training...
step 40917 | Training...
step 40918 | Training...
step 40919 | Training...
step 40920 | Training...
step 40921 | Training...
step 40922 | Training...
step 40923 | Training...
step 40924 | Training...
step 40925 | Training...
step 40926 | Training...
step 40927 | Training...
step 40928 | Training...
step 40929 | Training...
step 40930 | Training...
step 40931 | Training...
step 40932 | Training...
step 40933 | Training...
step 40934 | Training...
step 40935 | Training...
step 40936 | Training...
step 40937 | Training...
step 40938 | Training...
step 40939 | Training...
step 40940 | Training...
step 40941 | Training...
step 40942 | Training...
step 40943 | Training...
step 40944 | Training...
step 40945 | Training...
step 40946 | Training...
step 40947 | Training...
step 40948 | Training...
step 40949 | Training...
step 40950 | Training...
step 40951 | Training...
step 40952 | Training...
step 40953 | Training...
step 40954 | Training...
step 40955 | Training...
step 40956 | Training...
step 40957 | Training...
step 40958 | Training...
step 40959 | Training...
step 40960 | Training...
step 40961 | Training...
step 40962 | Training...
step 40963 | Training...
step 40964 | Training...
step 40965 | Training...
step 40966 | Training...
step 40967 | Training...
step 40968 | Training...
step 40969 | Training...
step 40970 | Training...
step 40971 | Training...
step 40972 | Training...
step 40973 | Training...
step 40974 | Training...
step 40975 | Training...
step 40976 | Training...
step 40977 | Training...
step 40978 | Training...
step 40979 | Training...
step 40980 | Training...
step 40981 | Training...
step 40982 | Training...
step 40983 | Training...
step 40984 | Training...
step 40985 | Training...
step 40986 | Training...
step 40987 | Training...
step 40988 | Training...
step 40989 | Training...
step 40990 | Training...
step 40991 | Training...
step 40992 | Training...
step 40993 | Training...
step 40994 | Training...
step 40995 | Training...
step 40996 | Training...
step 40997 | Training...
step 40998 | Training...
step 40999 | Training...
step 41000 | Training...
step 41001 | Training...
step 41002 | Training...
step 41003 | Training...
step 41004 | Training...
step 41005 | Training...
step 41006 | Training...
step 41007 | Training...
step 41008 | Training...
step 41009 | Training...
step 41010 | Training...
step 41011 | Training...
step 41012 | Training...
step 41013 | Training...
step 41014 | Training...
step 41015 | Training...
step 41016 | Training...
step 41017 | Training...
step 41018 | Training...
step 41019 | Training...
step 41020 | Training...
step 41021 | Training...
step 41022 | Training...
step 41023 | Training...
step 41024 | Training...
step 41025 | Training...
step 41026 | Training...
step 41027 | Training...
step 41028 | Training...
step 41029 | Training...
step 41030 | Training...
step 41031 | Training...
step 41032 | Training...
step 41033 | Training...
step 41034 | Training...
step 41035 | Training...
step 41036 | Training...
step 41037 | Training...
step 41038 | Training...
step 41039 | Training...
step 41040 | Training...
step 41041 | Training...
step 41042 | Training...
step 41043 | Training...
step 41044 | Training...
step 41045 | Training...
step 41046 | Training...
step 41047 | Training...
step 41048 | Training...
step 41049 | Training...
step 41050 | Training...
step 41051 | Training...
step 41052 | Training...
step 41053 | Training...
step 41054 | Training...
step 41055 | Training...
step 41056 | Training...
step 41057 | Training...
step 41058 | Training...
step 41059 | Training...
step 41060 | Training...
step 41061 | Training...
step 41062 | Training...
step 41063 | Training...
step 41064 | Training...
step 41065 | Training...
step 41066 | Training...
step 41067 | Training...
step 41068 | Training...
step 41069 | Training...
step 41070 | Training...
step 41071 | Training...
step 41072 | Training...
step 41073 | Training...
step 41074 | Training...
step 41075 | Training...
step 41076 | Training...
step 41077 | Training...
step 41078 | Training...
step 41079 | Training...
step 41080 | Training...
step 41081 | Training...
step 41082 | Training...
step 41083 | Training...
step 41084 | Training...
step 41085 | Training...
step 41086 | Training...
step 41087 | Training...
step 41088 | Training...
step 41089 | Training...
step 41090 | Training...
step 41091 | Training...
step 41092 | Training...
step 41093 | Training...
step 41094 | Training...
step 41095 | Training...
step 41096 | Training...
step 41097 | Training...
step 41098 | Training...
step 41099 | Training...
step 41100 | Training...
step 41101 | Training...
step 41102 | Training...
step 41103 | Training...
step 41104 | Training...
step 41105 | Training...
step 41106 | Training...
step 41107 | Training...
step 41108 | Training...
step 41109 | Training...
step 41110 | Training...
step 41111 | Training...
step 41112 | Training...
step 41113 | Training...
step 41114 | Training...
step 41115 | Training...
step 41116 | Training...
step 41117 | Training...
step 41118 | Training...
step 41119 | Training...
step 41120 | Training...
step 41121 | Training...
step 41122 | Training...
step 41123 | Training...
step 41124 | Training...
step 41125 | Training...
step 41126 | Training...
step 41127 | Training...
step 41128 | Training...
step 41129 | Training...
step 41130 | Training...
step 41131 | Training...
step 41132 | Training...
step 41133 | Training...
step 41134 | Training...
step 41135 | Training...
step 41136 | Training...
step 41137 | Training...
step 41138 | Training...
step 41139 | Training...
step 41140 | Training...
step 41141 | Training...
step 41142 | Training...
step 41143 | Training...
step 41144 | Training...
step 41145 | Training...
step 41146 | Training...
step 41147 | Training...
step 41148 | Training...
step 41149 | Training...
step 41150 | Training...
step 41151 | Training...
step 41152 | Training...
step 41153 | Training...
step 41154 | Training...
step 41155 | Training...
step 41156 | Training...
step 41157 | Training...
step 41158 | Training...
step 41159 | Training...
step 41160 | Training...
step 41161 | Training...
step 41162 | Training...
step 41163 | Training...
step 41164 | Training...
step 41165 | Training...
step 41166 | Training...
step 41167 | Training...
step 41168 | Training...
step 41169 | Training...
step 41170 | Training...
step 41171 | Training...
step 41172 | Training...
step 41173 | Training...
step 41174 | Training...
step 41175 | Training...
step 41176 | Training...
step 41177 | Training...
step 41178 | Training...
step 41179 | Training...
step 41180 | Training...
step 41181 | Training...
step 41182 | Training...
step 41183 | Training...
step 41184 | Training...
step 41185 | Training...
step 41186 | Training...
step 41187 | Training...
step 41188 | Training...
step 41189 | Training...
step 41190 | Training...
step 41191 | Training...
step 41192 | Training...
step 41193 | Training...
step 41194 | Training...
step 41195 | Training...
step 41196 | Training...
step 41197 | Training...
step 41198 | Training...
step 41199 | Training...
step 41200 | Training...
step 41201 | Training...
step 41202 | Training...
step 41203 | Training...
step 41204 | Training...
step 41205 | Training...
step 41206 | Training...
step 41207 | Training...
step 41208 | Training...
step 41209 | Training...
step 41210 | Training...
step 41211 | Training...
step 41212 | Training...
step 41213 | Training...
step 41214 | Training...
step 41215 | Training...
step 41216 | Training...
step 41217 | Training...
step 41218 | Training...
step 41219 | Training...
step 41220 | Training...
step 41221 | Training...
step 41222 | Training...
step 41223 | Training...
step 41224 | Training...
step 41225 | Training...
step 41226 | Training...
step 41227 | Training...
step 41228 | Training...
step 41229 | Training...
step 41230 | Training...
step 41231 | Training...
step 41232 | Training...
step 41233 | Training...
step 41234 | Training...
step 41235 | Training...
